Metric,Value
Rouge-1,0.9807677087455504
Rouge-2,0.9773776546629709
Rouge-L,0.9806094182825511
Rouge-Lsum,0.9805302730510513
Bleu,0.9719573295447255
Bleu-Precision-1,0.9794509011285161
Bleu-Precision-2,0.9757672062766908
Bleu-Precision-3,0.9704743465634076
Bleu-Precision-4,0.9622232543737421
Bleu-Brevity-Penalty,1.0
Bleu-Length-Ratio,1.0002527167045743
Bleu-Translation-Length,11874
Bleu-Reference-Length,11871
Meteor,0.976317682843909
Bertscore-Precision,0.9927407326130325
Bertscore-Recall,0.9918096532782029
Bertscore-F1,0.9918096532782029
